Campaign,Ad_ID,Date,Age_Group,Gender,Interest1,Interest2,Interest3,Impressions,Clicks,Engagement,Total_Spent,CTR(%),CPC,ROI(%)
Campaign A,Ad-1,2025-01-01,25-34,M,3973,4767,4197,3441,901,2292,1453.53,26.18,1.61,156.19
Campaign A,Ad-2,2025-01-01,25-34,F,1801,2491,1708,11368,956,787,3490.5,8.41,3.65,120.2
Campaign A,Ad-3,2025-01-01,25-34,F,1878,1721,1913,7320,129,652,4857.02,1.76,37.65,166.54
Campaign A,Ad-4,2025-01-01,40-44,M,2794,3415,4583,10100,223,804,411.53,2.21,1.85,101.15
Campaign A,Ad-5,2025-01-01,25-34,M,4565,3574,4642,10487,429,1432,921.14,4.09,2.15,123.82
Campaign A,Ad-6,2025-01-01,55+,F,2977,4381,4054,6807,478,4973,2769.13,7.02,5.79,142.68
Campaign A,Ad-7,2025-01-01,55+,F,4882,3820,4175,8902,362,3271,1465.24,4.07,4.05,140.56
Campaign A,Ad-8,2025-01-01,18-24,M,1014,4057,3405,8274,1380,1963,4632.61,16.68,3.36,163.28
Campaign A,Ad-9,2025-01-01,45-54,M,4445,1988,2866,14829,1293,1012,2130.59,8.72,1.65,123.92
Campaign A,Ad-10,2025-01-01,40-44,M,4852,1890,1716,13798,1494,3475,4514.69,10.83,3.02,180.82
Campaign B,Ad-1,2025-01-01,55+,M,2326,4779,2833,10402,871,2204,2775.11,8.37,3.19,103.82
Campaign B,Ad-2,2025-01-01,45-54,F,3230,2973,4370,12564,1107,2507,2600.23,8.81,2.35,101.65
Campaign B,Ad-3,2025-01-01,55+,M,4562,1050,3999,3970,466,3003,3880.11,11.74,8.33,196.59
Campaign B,Ad-4,2025-01-01,45-54,M,2256,3369,3120,4388,1042,943,4475.01,23.75,4.29,92.49
Campaign B,Ad-5,2025-01-01,55+,F,3884,3774,1629,17819,927,1986,992.89,5.2,1.07,156.55
Campaign B,Ad-6,2025-01-01,55+,M,2524,2770,4260,16098,136,3199,3995.72,0.84,29.38,134.78
Campaign B,Ad-7,2025-01-01,25-34,M,4498,4817,4765,4721,1500,624,4635.74,31.77,3.09,162.17
Campaign B,Ad-8,2025-01-01,40-44,F,3443,4065,2952,11073,377,1246,3523.2,3.4,9.35,150.61
Campaign B,Ad-9,2025-01-01,40-44,F,1148,3640,1965,4569,121,3364,4699.47,2.65,38.84,103.09
Campaign B,Ad-10,2025-01-01,25-34,F,3192,4385,1569,14402,1365,3671,4838.09,9.48,3.54,113.74
Campaign C,Ad-1,2025-01-01,45-54,M,4046,3349,4811,16937,1318,821,3502.99,7.78,2.66,133.57
Campaign C,Ad-2,2025-01-01,35-39,M,4842,2671,1604,10222,1499,3046,1643.33,14.66,1.1,82.45
Campaign C,Ad-3,2025-01-01,35-39,M,3919,3718,4188,13365,599,4679,1870.36,4.48,3.12,81.78
Campaign C,Ad-4,2025-01-01,25-34,M,2631,3589,4058,6601,571,1634,4737.53,8.65,8.3,100.92
Campaign C,Ad-5,2025-01-01,45-54,F,2959,1177,2138,3251,223,1514,974.18,6.86,4.37,181.74
Campaign C,Ad-6,2025-01-01,25-34,M,3496,4220,2432,15560,619,3008,1248.04,3.98,2.02,177.39
Campaign C,Ad-7,2025-01-01,45-54,M,4826,4604,3476,4558,151,4091,4742.36,3.31,31.41,149.79
Campaign C,Ad-8,2025-01-01,25-34,M,2303,1875,1162,10165,1117,3169,1301.92,10.99,1.17,184.49
Campaign C,Ad-9,2025-01-01,25-34,F,2851,2478,1246,15502,277,4260,1072.73,1.79,3.87,148.11
Campaign C,Ad-10,2025-01-01,18-24,F,4141,3966,1886,6439,707,3580,2785.05,10.98,3.94,135.38
Campaign D,Ad-1,2025-01-01,25-34,M,4637,1724,4588,11926,374,1271,4503.97,3.14,12.04,152.83
Campaign D,Ad-2,2025-01-01,18-24,F,2099,3096,1365,17923,862,2228,490.3,4.81,0.57,115.69
Campaign D,Ad-3,2025-01-01,35-39,M,4876,3529,1185,18733,244,1744,2246.04,1.3,9.21,112.06
Campaign D,Ad-4,2025-01-01,18-24,M,1017,2211,3087,7523,976,3858,992.87,12.97,1.02,164.47
Campaign D,Ad-5,2025-01-01,18-24,M,1572,3972,3245,4949,636,999,3954.42,12.85,6.22,87.23
Campaign D,Ad-6,2025-01-01,35-39,M,2022,2411,4931,18035,1352,750,3463.28,7.5,2.56,183.33
Campaign D,Ad-7,2025-01-01,18-24,M,3578,4009,2464,10876,117,1267,3603.19,1.08,30.8,134.87
Campaign D,Ad-8,2025-01-01,55+,M,1063,4893,1732,12334,151,2682,4376.95,1.22,28.99,88.81
Campaign D,Ad-9,2025-01-01,55+,M,2327,4786,3591,5860,1236,4536,2658.22,21.09,2.15,90.39
Campaign D,Ad-10,2025-01-01,35-39,F,4489,2780,1519,11230,415,869,3212.26,3.7,7.74,92.39
Campaign E,Ad-1,2025-01-01,35-39,M,2765,1650,2333,5726,616,3616,1643.23,10.76,2.67,124.69
Campaign E,Ad-2,2025-01-01,18-24,F,3037,2877,2821,18188,1399,4500,2155.99,7.69,1.54,178.95
Campaign E,Ad-3,2025-01-01,45-54,M,3647,2193,4380,10463,425,1666,3316.42,4.06,7.8,121.22
Campaign E,Ad-4,2025-01-01,35-39,M,2307,1319,1420,13159,1086,3776,4971.02,8.25,4.58,178.94
Campaign E,Ad-5,2025-01-01,25-34,M,1887,1214,2080,18819,1252,2772,4948.85,6.65,3.95,139.25
Campaign E,Ad-6,2025-01-01,55+,M,3136,2141,4503,15362,901,4608,4610.45,5.87,5.12,122.2
Campaign E,Ad-7,2025-01-01,35-39,M,4224,2103,1615,18821,970,3485,3131.73,5.15,3.23,196.61
Campaign E,Ad-8,2025-01-01,35-39,F,2786,4401,4897,7614,122,1781,4014.36,1.6,32.9,100.66
Campaign E,Ad-9,2025-01-01,35-39,M,3414,3594,1213,18418,778,2793,1564.0,4.22,2.01,164.4
Campaign E,Ad-10,2025-01-01,55+,F,4829,4398,4855,15037,996,1524,1147.6,6.62,1.15,189.91
Campaign A,Ad-1,2025-01-02,55+,F,4031,4948,3473,13931,901,2072,3703.4,6.47,4.11,130.8
Campaign A,Ad-2,2025-01-02,35-39,F,3112,4513,3808,5211,403,3445,3355.48,7.73,8.33,130.27
Campaign A,Ad-3,2025-01-02,45-54,F,1086,2539,1107,6709,621,409,565.61,9.26,0.91,106.37
Campaign A,Ad-4,2025-01-02,18-24,M,1248,2859,1901,17935,506,3768,4010.24,2.82,7.93,140.46
Campaign A,Ad-5,2025-01-02,35-39,M,4101,2523,1446,16126,1452,4047,1797.23,9.0,1.24,172.34
Campaign A,Ad-6,2025-01-02,40-44,M,2477,1490,1154,13716,575,3237,972.56,4.19,1.69,96.22
Campaign A,Ad-7,2025-01-02,40-44,M,4133,3950,2410,17004,1431,4737,4539.43,8.42,3.17,96.52
Campaign A,Ad-8,2025-01-02,40-44,M,2785,3343,1695,15418,309,3690,659.39,2.0,2.13,189.94
Campaign A,Ad-9,2025-01-02,18-24,M,2675,1939,3407,15839,626,302,3342.5,3.95,5.34,120.98
Campaign A,Ad-10,2025-01-02,25-34,M,2457,2946,3844,15641,447,1254,4424.49,2.86,9.9,185.78
Campaign B,Ad-1,2025-01-02,55+,F,4664,1687,3671,9747,1034,376,2510.64,10.61,2.43,183.42
Campaign B,Ad-2,2025-01-02,25-34,M,3460,2741,2673,6914,134,4972,4485.27,1.94,33.47,188.74
Campaign B,Ad-3,2025-01-02,18-24,M,2131,3236,2536,4261,1276,3871,4437.86,29.95,3.48,128.54
Campaign B,Ad-4,2025-01-02,18-24,F,4893,2751,1389,13450,1100,1052,628.8,8.18,0.57,97.25
Campaign B,Ad-5,2025-01-02,35-39,F,2175,1355,4702,17195,327,3472,460.26,1.9,1.41,97.4
Campaign B,Ad-6,2025-01-02,25-34,F,3011,1946,1986,5734,695,1340,2638.58,12.12,3.8,170.18
Campaign B,Ad-7,2025-01-02,18-24,M,3255,2614,4423,19686,1153,411,3666.45,5.86,3.18,140.88
Campaign B,Ad-8,2025-01-02,25-34,F,3643,1381,1236,3995,1355,3130,296.09,33.92,0.22,87.99
Campaign B,Ad-9,2025-01-02,25-34,F,3447,3817,4114,8723,1494,807,3571.79,17.13,2.39,150.66
Campaign B,Ad-10,2025-01-02,25-34,M,3906,1596,3240,17026,1125,3170,639.83,6.61,0.57,89.37
Campaign C,Ad-1,2025-01-02,40-44,F,1157,1708,4808,4059,1308,912,1411.81,32.22,1.08,169.58
Campaign C,Ad-2,2025-01-02,40-44,M,4323,3989,2122,11415,1174,2619,1493.53,10.28,1.27,164.9
Campaign C,Ad-3,2025-01-02,45-54,M,3885,2894,3554,9840,716,4796,3290.61,7.28,4.6,116.36
Campaign C,Ad-4,2025-01-02,45-54,F,2980,4318,2906,18557,1450,4091,1240.5,7.81,0.86,89.2
Campaign C,Ad-5,2025-01-02,45-54,M,3913,3261,4864,15582,665,3871,4810.41,4.27,7.23,100.17
Campaign C,Ad-6,2025-01-02,55+,M,1076,2704,4368,17332,234,3502,1330.38,1.35,5.69,172.04
Campaign C,Ad-7,2025-01-02,35-39,F,2399,1366,1518,17212,573,3358,4656.46,3.33,8.13,110.28
Campaign C,Ad-8,2025-01-02,45-54,F,2728,4544,2197,10573,147,4784,4807.02,1.39,32.7,178.84
Campaign C,Ad-9,2025-01-02,18-24,F,4317,4377,2185,3047,794,4416,1356.41,26.06,1.71,174.06
Campaign C,Ad-10,2025-01-02,55+,F,2002,3114,2961,5702,328,2725,704.46,5.75,2.15,131.81
Campaign D,Ad-1,2025-01-02,40-44,F,3896,2912,4634,7181,1281,1500,406.05,17.84,0.32,118.8
Campaign D,Ad-2,2025-01-02,45-54,F,4997,2472,2522,12287,218,1747,4580.47,1.77,21.01,125.72
Campaign D,Ad-3,2025-01-02,25-34,F,3376,2975,3542,15209,322,4367,4022.16,2.12,12.49,194.47
Campaign D,Ad-4,2025-01-02,25-34,F,1465,1399,2419,11767,657,3359,4599.62,5.58,7.0,177.89
Campaign D,Ad-5,2025-01-02,35-39,F,4016,4372,2139,9447,109,1495,691.7,1.15,6.35,126.2
Campaign D,Ad-6,2025-01-02,18-24,M,4557,1822,3116,10888,1006,4890,505.62,9.24,0.5,155.55
Campaign D,Ad-7,2025-01-02,18-24,F,4584,1171,4250,5285,120,2045,918.44,2.27,7.65,180.85
Campaign D,Ad-8,2025-01-02,25-34,M,2256,3215,3122,18622,103,4204,3121.79,0.55,30.31,112.22
Campaign D,Ad-9,2025-01-02,40-44,M,4042,4679,4123,10619,1145,769,3913.9,10.78,3.42,130.66
Campaign D,Ad-10,2025-01-02,18-24,M,1616,4376,3987,17298,943,2126,1493.45,5.45,1.58,90.58
Campaign E,Ad-1,2025-01-02,25-34,M,2478,2442,4964,18461,1424,2990,2025.95,7.71,1.42,95.52
Campaign E,Ad-2,2025-01-02,45-54,F,1750,1917,2748,14980,594,368,2040.32,3.97,3.43,150.13
Campaign E,Ad-3,2025-01-02,35-39,F,2851,2763,2702,7881,295,1930,2493.23,3.74,8.45,105.54
Campaign E,Ad-4,2025-01-02,40-44,F,3732,4780,1365,7740,1094,1391,1634.44,14.13,1.49,83.42
Campaign E,Ad-5,2025-01-02,55+,F,2170,3122,2687,3972,924,1177,1063.41,23.26,1.15,196.55
Campaign E,Ad-6,2025-01-02,40-44,F,2986,1403,1383,7289,727,1519,2484.81,9.97,3.42,196.98
Campaign E,Ad-7,2025-01-02,18-24,F,4558,4550,1235,5541,1237,1700,3754.72,22.32,3.04,197.88
Campaign E,Ad-8,2025-01-02,25-34,M,1811,3167,4699,11094,1437,3680,4726.99,12.95,3.29,164.05
Campaign E,Ad-9,2025-01-02,35-39,F,4633,4566,1351,6008,1403,3317,3022.75,23.35,2.15,115.24
Campaign E,Ad-10,2025-01-02,25-34,M,4978,1530,4633,15130,1385,3568,4416.8,9.15,3.19,168.49
Campaign A,Ad-1,2025-01-03,18-24,M,3852,2399,1482,7003,423,994,319.54,6.04,0.76,183.25
Campaign A,Ad-2,2025-01-03,35-39,F,1676,1036,1495,6944,250,3679,551.43,3.6,2.21,175.99
Campaign A,Ad-3,2025-01-03,45-54,F,4998,4914,3410,4507,342,2667,4194.37,7.59,12.26,158.47
Campaign A,Ad-4,2025-01-03,40-44,M,3953,4495,1434,19555,905,4967,637.6,4.63,0.7,101.81
